# data_size, time_cpu, time_gpu
128, 1, 3
256, 1, 3
512, 2, 4
1024, 2, 4
2048, 7, 5
4096, 1, 5
8192, 3, 5
16384, 6, 6
32768, 18, 7
65536, 39, 10
131072, 118, 44
262144, 159, 51
524288, 212, 80
1048576, 578, 175
2097152, 1327, 427
4194304, 6004, 470
8388608, 27094, 991
16777216, 119553, 1747
